gene,log2FC,pvalue,padj,mean_tumor,mean_normal,baseMean,regulation
MKI67,7.932946636080288,7.128673372391065e-129,8.910841715488831e-125,9.744800051711215,1.8118534156309265,5.77832673367107,UP
TOP2A,7.264224273249214,2.2196733204553972e-110,6.936479126423116e-107,9.336687688584282,2.072463415335068,5.7045755519596755,UP
CDK1,6.675810777551575,3.4785998761254926e-119,2.174124922578433e-115,8.99691357135593,2.321102793804355,5.659008182580143,UP
PCNA,5.884100729901146,1.2070063396909733e-101,1.6763976940152408e-98,8.62715295467969,2.7430522247785443,5.685102589729118,UP
EGFR,5.37380247992104,8.52693076137971e-90,4.634201500749842e-87,8.330876913628748,2.9570744337077075,5.643975673668228,UP
KRAS,4.846745963624832,2.1176919592818568e-73,4.0724845370804935e-71,8.017939557006795,3.1711935933819633,5.594566575194379,UP
MYC,5.811177688150552,3.0365723625985904e-95,2.372322158280149e-92,8.53630647016999,2.7251287820194374,5.630717626094714,UP
E2F1,5.248674673033246,1.9001426844538819e-93,1.397163738569031e-90,8.25197985335682,3.003305180323574,5.627642516840197,UP
CCND1,4.668662659890382,1.6781832740298507e-80,4.560280635950681e-78,7.905088416339891,3.2364257564495085,5.5707570863947,UP
AURKA,6.343833935390581,1.6124674422301598e-99,1.8577867524028303e-96,8.849003889324711,2.5051699539341308,5.677086921629421,UP
BUB1,6.798051952922146,4.7315951727183395e-118,1.9714979886326416e-114,9.115616540882183,2.3175645879600375,5.71659056442111,UP
PLK1,6.559723233147266,4.277090222133111e-89,2.2276511573609957e-86,8.929513976707696,2.36979074356043,5.649652360134063,UP
MCM2,6.066161611694521,9.908783472680279e-104,2.0643298901417247e-100,8.726001369902724,2.6598397582082027,5.692920564055463,UP
TYMS,5.572687024622084,1.0240058228738841e-97,9.846209835325809e-95,8.437551499015708,2.8648644743936234,5.651207986704666,UP
RRM2,5.941703650807048,7.011969877468391e-85,2.577930102010438e-82,8.626249895942575,2.684546245135527,5.655398070539051,UP
FOXM1,7.0140068770998365,2.0155072686245594e-102,3.149230107225874e-99,9.2259825883825,2.211975711282664,5.718979149832582,UP
BIRC5,6.658173629948941,1.4204539627375742e-107,3.5511349068439357e-104,9.018148986575653,2.359975356626712,5.689062171601183,UP
TPX2,5.825034167240656,6.669706346958128e-96,5.5580886224651065e-93,8.528889360449245,2.70385519320859,5.616372276828917,UP
UBE2C,5.386994413250795,8.160575885051137e-84,2.7569513125172755e-81,8.274535908025586,2.88754149477479,5.581038701400188,UP
KIF2C,5.017336898423711,1.6227755394054497e-87,7.801805477910816e-85,8.120169331717657,3.1028324332939463,5.611500882505801,UP
NDC80,5.215117558641335,1.0322512330215375e-92,6.7911265330364305e-90,8.212292876742598,2.997175318101263,5.604734097421931,UP
CENPF,5.595706270465385,5.337454664714284e-87,2.3827922610331623e-84,8.449423825198984,2.8537175547335987,5.651570689966292,UP
ASPM,4.84348995221219,6.224918898250549e-79,1.587989514859834e-76,8.037494719791734,3.194004767579545,5.615749743685639,UP
HMMR,4.947991023275466,2.0671973281659056e-86,8.613322200691274e-84,8.124879717276961,3.1768886940014953,5.650884205639228,UP
PRC1,5.324623811309317,3.5515294325668568e-90,2.0179144503220775e-87,8.339092083640553,3.014468272331236,5.676780177985894,UP
